age_from	classwidth	region	zensus	sex	pop
0	5	Ariège	1856	male	13209
0	5	Ariège	1856	female	13077
0	5	Haute-Garonne	1856	male	18302
0	5	Haute-Garonne	1856	female	18302
0	5	Tarn	1856	male	16710
0	5	Tarn	1856	female	15622
0	5	Tarn-et-Garonne	1856	male	8830
0	5	Tarn-et-Garonne	1856	female	8214
5	5	Ariège	1856	male	12344
5	5	Ariège	1856	female	12034
5	5	Haute-Garonne	1856	male	19018
5	5	Haute-Garonne	1856	female	20053
5	5	Tarn	1856	male	16580
5	5	Tarn	1856	female	15689
5	5	Tarn-et-Garonne	1856	male	9064
5	5	Tarn-et-Garonne	1856	female	8958
10	5	Ariège	1856	male	12253
10	5	Ariège	1856	female	11709
10	5	Haute-Garonne	1856	male	20573
10	5	Haute-Garonne	1856	female	20185
10	5	Tarn	1856	male	16787
10	5	Tarn	1856	female	15981
10	5	Tarn-et-Garonne	1856	male	9208
10	5	Tarn-et-Garonne	1856	female	8970
15	5	Ariège	1856	male	11532
15	5	Ariège	1856	female	11745
15	5	Haute-Garonne	1856	male	21108
15	5	Haute-Garonne	1856	female	21263
15	5	Tarn	1856	male	16723
15	5	Tarn	1856	female	16519
15	5	Tarn-et-Garonne	1856	male	9528
15	5	Tarn-et-Garonne	1856	female	9654
20	5	Ariège	1856	male	9090
20	5	Ariège	1856	female	11347
20	5	Haute-Garonne	1856	male	20229
20	5	Haute-Garonne	1856	female	19935
20	5	Tarn	1856	male	10938
20	5	Tarn	1856	female	14753
20	5	Tarn-et-Garonne	1856	male	6669
20	5	Tarn-et-Garonne	1856	female	10511
25	5	Ariège	1856	male	8485
25	5	Ariège	1856	female	10211
25	5	Haute-Garonne	1856	male	18254
25	5	Haute-Garonne	1856	female	20942
25	5	Tarn	1856	male	12502
25	5	Tarn	1856	female	13680
25	5	Tarn-et-Garonne	1856	male	7482
25	5	Tarn-et-Garonne	1856	female	9935
30	5	Ariège	1856	male	8214
30	5	Ariège	1856	female	9939
30	5	Haute-Garonne	1856	male	17663
30	5	Haute-Garonne	1856	female	17925
30	5	Tarn	1856	male	12445
30	5	Tarn	1856	female	12348
30	5	Tarn-et-Garonne	1856	male	7129
30	5	Tarn-et-Garonne	1856	female	7864
35	5	Ariège	1856	male	8377
35	5	Ariège	1856	female	9301
35	5	Haute-Garonne	1856	male	17110
35	5	Haute-Garonne	1856	female	19406
35	5	Tarn	1856	male	11580
35	5	Tarn	1856	female	11861
35	5	Tarn-et-Garonne	1856	male	7599
35	5	Tarn-et-Garonne	1856	female	7518
40	5	Ariège	1856	male	8294
40	5	Ariège	1856	female	7636
40	5	Haute-Garonne	1856	male	17634
40	5	Haute-Garonne	1856	female	16036
40	5	Tarn	1856	male	11835
40	5	Tarn	1856	female	12035
40	5	Tarn-et-Garonne	1856	male	7953
40	5	Tarn-et-Garonne	1856	female	8346
45	5	Ariège	1856	male	7371
45	5	Ariège	1856	female	6754
45	5	Haute-Garonne	1856	male	17887
