Age	1395-1505	1395-1420	1405-1430	1415-1440	1425-1450	1435-1460	1445-1470	1455-1480	1465-1490
	395	92	82	70	69	68	72	68	71
20	65	66	61	29	44	107	155	75	71
25	75	155	133	105	106	86	102	66	77
30	105	58	47	85	85	152	171	266	188
35	102	81	86	94	185	205	209	122	76
40	149	114	96	172	184	145	177	200	189
45	87	111	129	108	90	36	71	80	125
50	198	175	177	222	211	192	200	333	333
55	199	246	191	208	91	48	118	286	500
60	313	208	160	158	300	462	560	800	
65	430	263	333	438	429	632	667		
70	529	571	571	444	250	333	0		
75	813	667	500	600	833	1000	1000		
80	1000	1000	1000	1000	1000				
