age	pop_male	pop_female	death_male	death_female	group
0	108993	112816	9524	8750	1
5	91345	93970	949	950	2
10	84096	85229	376	354	3
15	78862	93012	518	496	4
20	89623	116327	817	753	5
25	83020	100155	815	865	5
30	79021	92194	897	881	6
35	57602	63747	959	901	6
40	59378	66221	1044	802	7
45	38108	41633	1005	822	7
50	37402	43153	1051	870	8
55	19869	22075	924	815	8
60	21886	27033	1152	1068	9
65	10950	13987	881	998	9
70	9062	12664	904	1028	10
75	3815	5864	663	973	10
80	1830	3240	332	595	11
85	540	1081	180	337	11
90	152	322	51	108	12
95	43	76	15	31	12
100	6	16	3	6	12
