Decade	1728	1730	1740	1750	1760	1770	1780	1790	1800	1810	1820	1830	1840
Number	57620	260875	260601	208494	208601	216522	195169	191771	153409	191113	206797	163525	119987
1-2	35.73	35.33	30.59	35.98	34.10	35.64	32.6	32.22	29.12	28.10	28.08	24.68	26.83
3-5	8.54	8.03	8.30	9.01	9.11	9.71	9.34	10.89	11.33	10.06	9.88	9.94	10.59
6-10	3.63	3.24	3.53	3.28	3.83	3.70	3.76	3.91	4.16	4.09	4.19	4.40	5.15
11-20	3.38	2.71	3.09	2.97	3.63	3.65	3.75	3.32	3.03	3.34	3.78	3.76	4.29
21-30	8.03	6.60	8.28	7.71	8.08	7.52	7.66	6.93	6.03	6.98	6.98	6.86	7.28
31-40	9.15	8.23	9.97	9.47	9.21	8.84	9.21	9.04	9.62	9.27	8.65	8.54	8.64
41-50	9.24	8.06	10.66	9.61	9.76	9.33	10.17	9.85	10.52	10.26	9.56	9.60	9.28
51-60	7.74	6.65	8.34	8.14	7.71	7.93	8.52	8.69	9.31	9.21	9.18	9.31	8.74
61-70	6.60	5.39	6.37	6.08	7.07	6.54	7.33	7.35	7.71	8.29	8.75	9.38	9.43
71-80	4.63	3.50	4.98	4.63	5.05	4.91	5.17	5.34	5.65	6.44	7.23	7.57	7.55
81-90	2.70	2.08	2.21	2.14	2.13	1.93	2.16	2.14	2.44	3.15	3.23	3.19	3.08
91-100	0.0	0.421	0.375	0.34	0.33	0.29	0.331	0.31	0.372	0.617	0.501	0.441	0.40
