age_from	classwidth	sex	category	deceased
0	1	male	Geneve 18th: cat. I	85,5
0	1	male	Geneve 18th: cat. II	275,7
0	1	male	Geneve 18th: cat. III	297,6
1	4	male	Geneve 18th: cat. I	57
1	4	male	Geneve 18th: cat. II	148,1
1	4	male	Geneve 18th: cat. III	201,7
5	5	male	Geneve 18th: cat. I	24
5	5	male	Geneve 18th: cat. II	63
5	5	male	Geneve 18th: cat. III	70
10	5	male	Geneve 18th: cat. I	5
10	5	male	Geneve 18th: cat. II	20
10	5	male	Geneve 18th: cat. III	38
15	5	male	Geneve 18th: cat. I	6
15	5	male	Geneve 18th: cat. II	18
15	5	male	Geneve 18th: cat. III	17
20	5	male	Geneve 18th: cat. I	11,2
20	5	male	Geneve 18th: cat. II	27,5
20	5	male	Geneve 18th: cat. III	28,2
25	5	male	Geneve 18th: cat. I	12,5
25	5	male	Geneve 18th: cat. II	8,7
25	5	male	Geneve 18th: cat. III	24,4
30	5	male	Geneve 18th: cat. I	5
30	5	male	Geneve 18th: cat. II	13,1
30	5	male	Geneve 18th: cat. III	20,7
35	5	male	Geneve 18th: cat. I	10
35	5	male	Geneve 18th: cat. II	29
35	5	male	Geneve 18th: cat. III	15
40	5	male	Geneve 18th: cat. I	16,2
40	5	male	Geneve 18th: cat. II	23,2
40	5	male	Geneve 18th: cat. III	18,8
45	5	male	Geneve 18th: cat. I	17,4
45	5	male	Geneve 18th: cat. II	30,4
45	5	male	Geneve 18th: cat. III	11,3
50	5	male	Geneve 18th: cat. I	12,5
50	5	male	Geneve 18th: cat. II	31,9
50	5	male	Geneve 18th: cat. III	20,7
55	5	male	Geneve 18th: cat. I	23,7
55	5	male	Geneve 18th: cat. II	30,4
55	5	male	Geneve 18th: cat. III	35,7
60	5	male	Geneve 18th: cat. I	16,2
60	5	male	Geneve 18th: cat. II	29
60	5	male	Geneve 18th: cat. III	15
65	5	male	Geneve 18th: cat. I	18,7
65	5	male	Geneve 18th: cat. II	26,1
65	5	male	Geneve 18th: cat. III	24,4
70	5	male	Geneve 18th: cat. I	28,7
70	5	male	Geneve 18th: cat. II	23,2
70	5	male	Geneve 18th: cat. III	22,6
75	5	male	Geneve 18th: cat. I	26,2
75	5	male	Geneve 18th: cat. II	17,4
75	5	male	Geneve 18th: cat. III	7,5
80	5	male	Geneve 18th: cat. I	13,7
80	5	male	Geneve 18th: cat. II	13,1
80	5	male	Geneve 18th: cat. III	7,5
85	5	male	Geneve 18th: cat. I	5
85	5	male	Geneve 18th: cat. II	4,3
85	5	male	Geneve 18th: cat. III	1,9
90	5	male	Geneve 18th: cat. I	2,5
90	5	male	Geneve 18th: cat. II	2,9
90	5	male	Geneve 18th: cat. III	0
0	5	female	Geneve 18th: cat. I	66,7
0	5	female	Geneve 18th: cat. II	218
0	5	female	Geneve 18th: cat. III	294
1	5	female	Geneve 18th: cat. I	57,1
1	5	female	Geneve 18th: cat. II	193,6
1	5	female	Geneve 18th: cat. III	205,7
5	5	female	Geneve 18th: cat. I	15
5	5	female	Geneve 18th: cat. II	49
5	5	female	Geneve 18th: cat. III	78
10	5	female	Geneve 18th: cat. I	4
10	5	female	Geneve 18th: cat. II	23
10	5	female	Geneve 18th: cat. III	32
15	5	female	Geneve 18th: cat. I	12
15	5	female	Geneve 18th: cat. II	32
15	5	female	Geneve 18th: cat. III	22
20	5	female	Geneve 18th: cat. I	7,5
20	5	female	Geneve 18th: cat. II	22,3
20	5	female	Geneve 18th: cat. III	25
25	5	female	Geneve 18th: cat. I	7,5
25	5	female	Geneve 18th: cat. II	25,9
25	5	female	Geneve 18th: cat. III	17,1
30	5	female	Geneve 18th: cat. I	18,3
30	5	female	Geneve 18th: cat. II	29,4
30	5	female	Geneve 18th: cat. III	21,1
35	5	female	Geneve 18th: cat. I	15,1
35	5	female	Geneve 18th: cat. II	42,3
35	5	female	Geneve 18th: cat. III	22,4
40	5	female	Geneve 18th: cat. I	11,8
40	5	female	Geneve 18th: cat. II	18,8
40	5	female	Geneve 18th: cat. III	34,3
45	5	female	Geneve 18th: cat. I	15,1
45	5	female	Geneve 18th: cat. II	24,7
45	5	female	Geneve 18th: cat. III	19,8
50	5	female	Geneve 18th: cat. I	11,8
50	5	female	Geneve 18th: cat. II	32,9
50	5	female	Geneve 18th: cat. III	19,8
55	5	female	Geneve 18th: cat. I	19,3
55	5	female	Geneve 18th: cat. II	25,9
55	5	female	Geneve 18th: cat. III	27,7
60	5	female	Geneve 18th: cat. I	17,2
60	5	female	Geneve 18th: cat. II	31,7
60	5	female	Geneve 18th: cat. III	18,4
65	5	female	Geneve 18th: cat. I	22,6
65	5	female	Geneve 18th: cat. II	41,2
65	5	female	Geneve 18th: cat. III	26,3
70	5	female	Geneve 18th: cat. I	30,1
70	5	female	Geneve 18th: cat. II	40
70	5	female	Geneve 18th: cat. III	23,7
75	5	female	Geneve 18th: cat. I	23,6
75	5	female	Geneve 18th: cat. II	16,5
75	5	female	Geneve 18th: cat. III	14,5
80	5	female	Geneve 18th: cat. I	12,9
80	5	female	Geneve 18th: cat. II	14,1
80	5	female	Geneve 18th: cat. III	6,6
85	5	female	Geneve 18th: cat. I	5,4
85	5	female	Geneve 18th: cat. II	3,5
85	5	female	Geneve 18th: cat. III	2,6
90	5	female	Geneve 18th: cat. I	0
90	5	female	Geneve 18th: cat. II	1,2
90	5	female	Geneve 18th: cat. III	0
