context_no	DUA_no	sex	age	height	caries	abcess	amtl
5001	1841	F	25-28		2/11		3/14
5002	1842	M	21-24	1.78			2/32
5003	1843	M	19-25				2/17
5004	1844	F	adult				
5006	1846	M	22-25				
5008	1847	M	35-40		2/04		
5009	1848	F	45+				8/25
5012	1849	M	22-25	1.70			
5013	1850	M	adult	1.78			
5014	1851	?	12-16				
5014A	1852		2-3				
5019	2069	F	12-18				
5021	1854	F	32-35	1-61			
5022	2070	M	32-35	1.71	1/17		1/18
5023	1855	F	25-35				
5028	2072	M	15-16				2/14
5029	2073	?	4-6				
5035	2074		7-8				1/16
5038	1856	F	38-45				
5039	1857	F	25-28		2/24		
5040	1858	M	35-38	1.78			
5041	1859		4-5				
5042	1860	M	32-35		2/31		2/33
5047	1862	M	17-25	1.78			
5049	1863		adult				
5050	1864	F	25-28	1.65	2/22		4/26
5051	1865	M	41-45		1/21		
5052	1866	F	17-25				
5053	1867	F	41-45	1.56	2/29		
5057	1870	?	infant				
5058	1871	F	5-7		4/20		
5059	1872	F	25-28	1.63	1/18		4/22
5061	1873	F	23-25	1.56 	2/29		?
5062	1874		foetus				
5063	1875	M	adult	1.71			
5064	1876	F	32-35	1.59			
5065	2076	F	adult	1.66			
5066	2077	F	6-7				
5067	1877	M	adult	1.71			
5068	1878	M	17-25	1.71			
5070	1879	M	45+		1/23		2/25
5072	2079	F	33-35	1.53			3/24
5073	1880	F	25-28	1.25	1/30		
5074	1881	F	adult				
5075	1882	?	9				
5076	1883	F	adult				1/27
5077	1884	?	adult				
5078	1885	M	40				
5079	1886	M	adult				
5081	1888	F	13-16				
5082	1889	F	25-28	1.71			
5083	1890	F	20-23	1.57			
5084	1891	M	adult				
5085	1892	M	45	1.81			2/26
5086	1893	F	25-28				
5089	1894	M	adult	1.75			
5090	1895	?	<4.5				
5091	1896	M	25	1.74			
5092	1897	F	17-18				
5094	1899	F	33-35				
5095	1900	?	1				
5097	1901	M	adult				
5098	1902	F	11-12				
5099	1903	F	23-25	1.69			
5100	2081	F	17-25				
5101	1904	F	25-28	1.64			
5102	1905	M	28-32	1.65	1/17		1/18
5103	1906		2-3				
5104	1907	M	25-31				
5105	1908	M	adult	1.70			
5106	2082	F	adult				
5107	2083	M	adult				
5108	1909	M	20-25	1.66			
5109	1910	M	18-22	1.68			
5111	1912	?	8				
5112	1913	F	39-41	1.59			
5115	1914	M	40-45	1.66			
5116	1915	M	31-35	1.67			
5117	2084	M	adult				
5118	1916	M	32-35	1.79	3/22		6/30
5119	1917	?	juvenile				
5120	1918	M	13-15	1.59?			
5121	1919	?	adult				
5122	1920	F	23-25	1.74			
5123	1921	M	17-22	1.65			
5124	1922	F	25-28	1.59			
5125	1923	F	38-41		2/22	1/22	
5126	1924	?	17-19				
5128	1925	?	7				
5129	1926	?	2				
5130	1927		1-1.5				
5131	2085	M	33-35		1/23		1/24
5133	1928	F	33-40		2/23		4/27
5134	1929	F	17-21				
5135	1930	?	35-45				
5139	1933	?	adult				
5141	1935	M	adult	1.64			
5144	1937	F	33-35		2/28		1/29
5147	1938	F	22-25				2/19
5148	1939	M	38-41	1.67	1/25		2/27
5149	1940	F	adult	1.66?			
5150	1941	F	33-39			1/22	1/23
5151	1942	M	35-45				
5152	1943		adolescent				
5153	1944	F	adult				
5154	1945	F	adult	1.56			
5155	1946	F	29-32				
5156	1947	F	25-28		1/10		
5157	1948	F	38-41	1.65			
5158	1949	F	45+	1.60	1/13		1/14
5159	1950	M	adult	1.71			
5162	1952	F	<25				
5163	1953	M	adult				
5164	1954	F	20-24		1/28		2/30
5165	1955	M	45+	1.66			
5166	1956	M	17-25	1.76			
5167	1957		juvenile				
5168	1958	M	25-28	1.69	2/29		
5169	2087	M	adolescent				
5170	1959		2-3				
5171	1960	?	adult				
5172	1961	M	26-45		1/14		3/17
5173	1962	M	adult				
5174	1963	M	adult				
5175	1964	M	adult				
5176	1965	M	adult	1.66			
5177	1966	M	36-45	1.73			
5178	1967	M	adult	1.66			
5179	1968	F	30				
5180	1969	M	adult				
