age	1625-1649	1650-1674	1675-1699	1700-1724	1725-1744	1745-1769	1770-1790	1800-1820
1	729	735	754	783	829	808	802	865
5	534	573	576	610	690	679	674	778
10	468	513	519	542	624	619	606	746
15	447	486	493	513	593	595	582	717
20	429	456	471	492	563	571	563	700
25	403	430	441	470	542	548	535	675
30	381	402	425	436	510	521	507	645
35	360	368	395	412	489	495	486	565
40	316	332	366	382	464	470	461	529
45	270	307	333	349	436	444	433	490
50	240	271	304	308	410	406	403	447
55	201	234	271	272	377	360	369	395
60	155	198	222	228	309	308	326	340
65	125	156	182	178	246	259	265	286
70	86	114	128	134	167	195	197	222
75	48	61	73	74	107	128	121	142
80	17	32	40	38	63	66	61	66
85	6	8	14	16	18	24	18	25
90	1	1	2	4	5	3	6	1
