Age	Berlin_1753	Frz_Kolonie_Berlin_1750	Berlin_1746	Fürstenwalde_1746	St_Petri_Berlin_1740	Braunschweig_1748	Breslau_1723	group
16	247	43	67	46	124	61	46	1
21	514	59	133	44	151	101	78	2
26	688	81	144	81	235	150	129	2
31	562	83	118	69	194	95	116	3
36	745	118	134	118	262	131	147	3
41	541	130	119	88	209	106	129	4
46	556	122	110	138	264	157	154	4
51	581	144	135	125	189	122	160	5
56	632	105	109	204	257	147	179	5
61	467	131	145	128	193	121	170	6
66	482	126	87	145	240	129	199	6
71	411	147	108	86	166	91	151	7
76	343	132	74	96	140	78	109	7
81	168	142	57	40	69	49	35	8
86	106	70	30	24	40	29	23	8
91	40	24	12	8	12	13	7	9
96	31	9	3	2	7	4	6	9
101	5	7	1	2	3	1	0	10
