cemetery	beta	beta_range	M	M_range	ex20	ex25	beta	beta_range	M	M_range	ex20	ex25
1	Bermondsey Abbey	0.0408	0.0316-0.0504	42.6	34.7-48.5	25.8	23	0.0434	0.0339-0.0529	46.3	39-52.2	27.2	24.2
2	Bow Baptist Church	0.0344	0.0255-0.0429	32.1	19.9-39.5	22.4	20.1	0.0404	0.0317-0.0496	44.7	37.2-50.3	27.3	24.4
3	Chelsea Old church	0.0418	0.0312-0.0516	51	43.6-56.2	30.5	27.4	0.0459	0.0352-0.0561	55.3	48.9-61.1	33.1	29.7
4	New Churchyard	0.0366	0.0299-0.0432	22.3	13.8-27.9	17	15	0.0396	0.0331-0.0468	28.2	21.1-33	18.3	16.1
5	Sheen's burial ground	0.0346	0.0246-0.0442	41	28.5-49.4	27.2	24.6	0.0409	0.0307-0.0509	51.2	42.7-58.3	31	27.8
6	St. Benet Sherehog	0.0352	0.0261-0.0445	35.7	23.3-43.3	23.9	21.4	0.0381	0.0286-0.0474	40	29.6-47.4	25.2	22.5
7	St. Bride's crypt (estimates)	0.0455	0.0377-0.0547	60	55.4-64.7	36.8	33.2	0.0515	0.043-0.0613	65.1	60.4-70.3	40.4	36.4
8	St. Bride's crypt (known age)	0.0491	0.0423-0.0565	59.4	55.5-62.5	35.7	32	0.0547	0.0477-0.062	63.8	60.7-66.4	38.4	34.5
9	St. Bride's lower churchyard	0.0507	0.0415-0.0597	53.6	50.2-56.6	30.9	27.4	0.0578	0.0482-0.0669	58.7	55.2-62.9	34.6	30.8
10	St. Mary Graces	0.0348	0.0264-0.0428	29.5	17.6-36.3	21	18.7	0.037	0.0288-0.0455	33.8	24-40.4	22.2	19.8
11	St. Mary Hospital, 1120-1200	0.0363	0.0289-0.0437	23.5	13-29.7	17.6	15.5	0.038	0.0305-0.0455	26.2	16.8-32.3	18.1	15.9
12	St. Mary Hospital, 1200-1250	0.0358	0.0288-0.0423	18.1	7.7-24.3	15.6	13.7	0.0399	0.0329-0.0468	26.4	18.9-31.4	17.4	15.3
13	St. Mary Hospital, 1250-1400	0.0583	0.0528-0.0633	31.9	30.1-33.6	15.9	13.3	0.061	0.0556-0.0666	33.8	31.7-35.7	16.5	13.8
14	St. Mary Hospital, 1400-1539	0.0377	0.0307-0.0443	22.2	13.8-27.9	16.5	14.5	0.0401	0.033-0.0469	26	18.8-31.4	17.3	15.2
15	St. Mary and St. Michael	0.0402	0.0323-0.0482	32.2	24.2-37	20	17.6	0.0457	0.0377-0.0541	41	35.8-45.5	23.5	20.7
16	St. Marylebone	0.0424	0.0332-0.051	41.1	34.3-46.2	24.4	21.7	0.045	0.0361-0.0542	45.4	39.4-50.5	26.6	23.5
17	St. Marylebone Paddington Street north	0.0487	0.0398-0.0579	45.1	40.2-49	25.3	22.2	0.0536	0.0449-0.0634	50.6	46.3-54.9	28.7	25.2
