Age	1640	1650	1660	1670	1680	1690	1700	1710	1720	1730	1740	1750	1760	1770	1780	1790	1800
25	79.1	65.1	54.0	87.3	94.1	82.3	46.8	53.9	59.5	45.6	47.9	39.0	56.8	58.9	53.6	72.8	40.1
30	72.5	54.4	84.2	89.8	109.2	65.2	101.1	54.7	57.4	69.7	56.8	48.2	68.6	62.0	43.3	59.8	42.5
35	109.1	99.4	81.7	87.4	109.7	84.7	111.2	73.2	96.7	59.3	70.8	54.7	68.0	70.7	61.5	62.2	56.6
40	107.0	86.8	91.5	85.8	92.9	95.0	91.6	100.4	79.4	75.0	72.9	78.1	89.7	57.5	84.1	42.6	56.7
45	105.7	120.7	108.8	101.6	138.1	100.2	100.9	94.1	110.3	107.5	97.0	75.1	89.3	88.8	121.4	81.0	78.3
50	155.3	143.0	140.5	109.3	164.5	127.2	90.2	135.7	140.8	97.1	99.0	106.5	107.8	104.6	115.5	96.6	75.8
55	222.4	192.4	188.2	191.2	230.1	152.2	169.7	140.4	221.3	168.0	175.2	119.6	134.0	126.6	161.2	95.8	107.1
60	146.6	242.9	236.5	218.7	285.7	203.7	185.0	207.6	239.8	200.5	216.0	171.6	179.4	143.5	215.3	163.7	159.3
65	334.4	280.0	293.2	272.5	297.3	242.1	275.5	326.8	311.1	298.4	235.7	224.2	227.0	236.1	235.0	266.8	237.2
70	389.7	464.5	414.8	399.8	488.1	335.6	317.4	346.2	513.5	359.0	336.8	341.1	327.8	365.1	377.1	426.1	417.3
75	554.7	546.0	455.1	426.7	590.2	457.8	544.4	432.9	542.1	474.6	463.5	436.3	398.3	434.3	532.9	496.8	335.5
80	500.0	622.0	646.5	639.7	728.7	605.6	595.4	508.5	704.8	625.1	469.7	544.4	642.9	548.1	604.3	596.3	709.1
